	SRR2352185	SRR2352186	SRR2352187	SRR2352188	SRR2352189	SRR2352190	SRR2352191	SRR2352192	SRR2352193	SRR2352194	SRR2352195	SRR2352196	SRR2352197	SRR2352198	SRR2352199	SRR2352200	SRR2352201	SRR2352202	SRR2352203	SRR2352204	SRR2352205	SRR2352206	SRR2352207	SRR2352208	SRR2352209	SRR2352210	SRR2352211	SRR2352212	SRR2352213	SRR2352214	SRR2352215	SRR2352216	SRR2352217	SRR2352218	SRR2352219	SRR2352220	SRR2352221	SRR2352222	SRR2352223	SRR2352224	SRR2352225	SRR2352226	SRR2352227	SRR2352228	SRR2352229	SRR2352230	SRR2352231	SRR2352232	SRR2352233	SRR2352234
SRR2352185	0.0	7.0	7.0	8.0	10.0	7.0	52.0	123.0	7.0	7.0	7.0	132.0	52.0	21.0	8.0	8.0	52.0	23.0	8.0	8.0	25.0	7.0	7.0	7.0	15.0	15.0	7.0	7.0	52.0	51.0	52.0	52.0	52.0	52.0	7.0	7.0	15.0	15.0	15.0	15.0	44.0	44.0	7.0	44.0	44.0	7.0	8.0	8.0	8.0	8.0
SRR2352186	7.0	0.0	0.0	1.0	3.0	0.0	45.0	116.0	0.0	0.0	0.0	125.0	45.0	14.0	1.0	1.0	45.0	16.0	1.0	1.0	18.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	45.0	44.0	45.0	45.0	45.0	45.0	0.0	0.0	8.0	8.0	8.0	8.0	37.0	37.0	0.0	37.0	37.0	0.0	1.0	1.0	1.0	1.0
SRR2352187	7.0	0.0	0.0	1.0	3.0	0.0	44.0	114.0	0.0	0.0	0.0	123.0	44.0	14.0	1.0	1.0	44.0	16.0	1.0	1.0	18.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	44.0	43.0	44.0	44.0	44.0	44.0	0.0	0.0	8.0	8.0	8.0	8.0	36.0	36.0	0.0	36.0	36.0	0.0	1.0	1.0	1.0	1.0
SRR2352188	8.0	1.0	1.0	0.0	4.0	1.0	45.0	116.0	1.0	1.0	1.0	125.0	45.0	14.0	0.0	0.0	45.0	16.0	0.0	0.0	18.0	1.0	1.0	1.0	8.0	8.0	1.0	1.0	45.0	44.0	45.0	45.0	45.0	45.0	1.0	1.0	8.0	8.0	8.0	8.0	37.0	37.0	1.0	37.0	37.0	0.0	0.0	0.0	0.0	0.0
SRR2352189	10.0	3.0	3.0	4.0	0.0	3.0	48.0	119.0	3.0	3.0	3.0	128.0	48.0	17.0	4.0	4.0	48.0	19.0	4.0	4.0	21.0	3.0	3.0	3.0	11.0	11.0	3.0	3.0	48.0	47.0	48.0	48.0	48.0	48.0	3.0	3.0	11.0	11.0	11.0	11.0	40.0	40.0	3.0	40.0	40.0	3.0	4.0	1.0	4.0	4.0
SRR2352190	7.0	0.0	0.0	1.0	3.0	0.0	44.0	115.0	0.0	0.0	0.0	124.0	44.0	13.0	1.0	1.0	44.0	15.0	1.0	1.0	17.0	0.0	0.0	0.0	7.0	7.0	0.0	0.0	44.0	43.0	44.0	44.0	44.0	44.0	0.0	0.0	7.0	7.0	7.0	7.0	36.0	36.0	0.0	36.0	36.0	0.0	1.0	1.0	1.0	1.0
SRR2352191	52.0	45.0	44.0	45.0	48.0	44.0	0.0	125.0	44.0	45.0	44.0	134.0	0.0	41.0	46.0	46.0	0.0	45.0	46.0	13.0	36.0	45.0	45.0	45.0	37.0	37.0	45.0	45.0	0.0	0.0	0.0	0.0	16.0	16.0	45.0	45.0	37.0	37.0	37.0	37.0	8.0	8.0	45.0	8.0	8.0	31.0	46.0	44.0	46.0	45.0
SRR2352192	123.0	116.0	114.0	116.0	119.0	115.0	125.0	0.0	115.0	116.0	115.0	15.0	125.0	112.0	116.0	117.0	125.0	116.0	116.0	44.0	97.0	116.0	116.0	116.0	108.0	108.0	116.0	116.0	125.0	125.0	125.0	125.0	125.0	125.0	116.0	116.0	108.0	108.0	108.0	108.0	117.0	117.0	116.0	117.0	116.0	70.0	116.0	113.0	117.0	116.0
SRR2352193	7.0	0.0	0.0	1.0	3.0	0.0	44.0	115.0	0.0	0.0	0.0	124.0	44.0	13.0	1.0	1.0	44.0	15.0	1.0	1.0	17.0	0.0	0.0	0.0	7.0	7.0	0.0	0.0	44.0	43.0	44.0	44.0	44.0	44.0	0.0	0.0	7.0	7.0	7.0	7.0	36.0	36.0	0.0	36.0	36.0	0.0	1.0	1.0	1.0	1.0
SRR2352194	7.0	0.0	0.0	1.0	3.0	0.0	45.0	116.0	0.0	0.0	0.0	125.0	45.0	14.0	1.0	1.0	45.0	16.0	1.0	1.0	18.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	45.0	44.0	45.0	45.0	45.0	45.0	0.0	0.0	8.0	8.0	8.0	8.0	37.0	37.0	0.0	37.0	37.0	0.0	1.0	1.0	1.0	1.0
SRR2352195	7.0	0.0	0.0	1.0	3.0	0.0	44.0	115.0	0.0	0.0	0.0	124.0	44.0	13.0	1.0	1.0	44.0	15.0	1.0	1.0	17.0	0.0	0.0	0.0	7.0	7.0	0.0	0.0	44.0	43.0	44.0	44.0	44.0	44.0	0.0	0.0	7.0	7.0	7.0	7.0	36.0	36.0	0.0	36.0	36.0	0.0	1.0	1.0	1.0	1.0
SRR2352196	132.0	125.0	123.0	125.0	128.0	124.0	134.0	15.0	124.0	125.0	124.0	0.0	134.0	121.0	125.0	126.0	134.0	125.0	125.0	51.0	106.0	125.0	125.0	125.0	117.0	117.0	125.0	125.0	134.0	134.0	134.0	134.0	134.0	134.0	125.0	125.0	117.0	117.0	117.0	117.0	126.0	126.0	125.0	126.0	125.0	77.0	125.0	117.0	126.0	125.0
SRR2352197	52.0	45.0	44.0	45.0	48.0	44.0	0.0	125.0	44.0	45.0	44.0	134.0	0.0	41.0	46.0	46.0	0.0	45.0	46.0	13.0	36.0	45.0	45.0	45.0	37.0	37.0	45.0	45.0	0.0	0.0	0.0	0.0	16.0	16.0	45.0	45.0	37.0	37.0	37.0	37.0	8.0	8.0	45.0	8.0	8.0	31.0	46.0	44.0	46.0	45.0
SRR2352198	21.0	14.0	14.0	14.0	17.0	13.0	41.0	112.0	13.0	14.0	13.0	121.0	41.0	0.0	15.0	15.0	41.0	14.0	15.0	7.0	6.0	14.0	14.0	14.0	6.0	6.0	14.0	14.0	41.0	40.0	41.0	41.0	41.0	41.0	14.0	14.0	6.0	6.0	6.0	6.0	33.0	33.0	14.0	33.0	33.0	11.0	15.0	14.0	15.0	14.0
SRR2352199	8.0	1.0	1.0	0.0	4.0	1.0	46.0	116.0	1.0	1.0	1.0	125.0	46.0	15.0	0.0	0.0	46.0	17.0	0.0	0.0	19.0	1.0	1.0	1.0	9.0	9.0	1.0	1.0	46.0	45.0	46.0	46.0	46.0	46.0	1.0	1.0	9.0	9.0	9.0	9.0	38.0	38.0	1.0	38.0	38.0	0.0	0.0	0.0	0.0	0.0
SRR2352200	8.0	1.0	1.0	0.0	4.0	1.0	46.0	117.0	1.0	1.0	1.0	126.0	46.0	15.0	0.0	0.0	46.0	17.0	0.0	0.0	19.0	1.0	1.0	1.0	9.0	9.0	1.0	1.0	46.0	45.0	46.0	46.0	46.0	46.0	1.0	1.0	9.0	9.0	9.0	9.0	38.0	38.0	1.0	38.0	38.0	0.0	0.0	0.0	0.0	0.0
SRR2352201	52.0	45.0	44.0	45.0	48.0	44.0	0.0	125.0	44.0	45.0	44.0	134.0	0.0	41.0	46.0	46.0	0.0	45.0	46.0	13.0	36.0	45.0	45.0	45.0	37.0	37.0	45.0	45.0	0.0	0.0	0.0	0.0	16.0	16.0	45.0	45.0	37.0	37.0	37.0	37.0	8.0	8.0	45.0	8.0	8.0	31.0	46.0	44.0	46.0	45.0
SRR2352202	23.0	16.0	16.0	16.0	19.0	15.0	45.0	116.0	15.0	16.0	15.0	125.0	45.0	14.0	17.0	17.0	45.0	0.0	17.0	10.0	19.0	16.0	16.0	16.0	8.0	8.0	16.0	16.0	45.0	44.0	45.0	45.0	45.0	45.0	16.0	16.0	8.0	8.0	8.0	8.0	37.0	37.0	16.0	37.0	37.0	13.0	17.0	16.0	17.0	16.0
SRR2352203	8.0	1.0	1.0	0.0	4.0	1.0	46.0	116.0	1.0	1.0	1.0	125.0	46.0	15.0	0.0	0.0	46.0	17.0	0.0	0.0	19.0	1.0	1.0	1.0	9.0	9.0	1.0	1.0	46.0	45.0	46.0	46.0	46.0	46.0	1.0	1.0	9.0	9.0	9.0	9.0	38.0	38.0	1.0	38.0	38.0	0.0	0.0	0.0	0.0	0.0
SRR2352204	8.0	1.0	1.0	0.0	4.0	1.0	13.0	44.0	1.0	1.0	1.0	51.0	13.0	7.0	0.0	0.0	13.0	10.0	0.0	0.0	7.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	13.0	13.0	13.0	13.0	21.0	21.0	1.0	1.0	2.0	2.0	2.0	2.0	13.0	13.0	1.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352205	25.0	18.0	18.0	18.0	21.0	17.0	36.0	97.0	17.0	18.0	17.0	106.0	36.0	6.0	19.0	19.0	36.0	19.0	19.0	7.0	0.0	18.0	18.0	18.0	11.0	11.0	18.0	18.0	36.0	36.0	36.0	36.0	36.0	36.0	18.0	18.0	11.0	11.0	11.0	11.0	28.0	28.0	18.0	28.0	28.0	16.0	19.0	18.0	19.0	18.0
SRR2352206	7.0	0.0	0.0	1.0	3.0	0.0	45.0	116.0	0.0	0.0	0.0	125.0	45.0	14.0	1.0	1.0	45.0	16.0	1.0	1.0	18.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	45.0	44.0	45.0	45.0	45.0	45.0	0.0	0.0	8.0	8.0	8.0	8.0	37.0	37.0	0.0	37.0	37.0	0.0	1.0	1.0	1.0	1.0
SRR2352207	7.0	0.0	0.0	1.0	3.0	0.0	45.0	116.0	0.0	0.0	0.0	125.0	45.0	14.0	1.0	1.0	45.0	16.0	1.0	1.0	18.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	45.0	44.0	45.0	45.0	45.0	45.0	0.0	0.0	8.0	8.0	8.0	8.0	37.0	37.0	0.0	37.0	37.0	0.0	1.0	1.0	1.0	1.0
SRR2352208	7.0	0.0	0.0	1.0	3.0	0.0	45.0	116.0	0.0	0.0	0.0	125.0	45.0	14.0	1.0	1.0	45.0	16.0	1.0	1.0	18.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	45.0	44.0	45.0	45.0	45.0	45.0	0.0	0.0	8.0	8.0	8.0	8.0	37.0	37.0	0.0	37.0	37.0	0.0	1.0	1.0	1.0	1.0
SRR2352209	15.0	8.0	8.0	8.0	11.0	7.0	37.0	108.0	7.0	8.0	7.0	117.0	37.0	6.0	9.0	9.0	37.0	8.0	9.0	2.0	11.0	8.0	8.0	8.0	0.0	0.0	8.0	8.0	37.0	36.0	37.0	37.0	37.0	37.0	8.0	8.0	0.0	0.0	0.0	0.0	29.0	29.0	8.0	29.0	29.0	5.0	9.0	8.0	9.0	8.0
SRR2352210	15.0	8.0	8.0	8.0	11.0	7.0	37.0	108.0	7.0	8.0	7.0	117.0	37.0	6.0	9.0	9.0	37.0	8.0	9.0	2.0	11.0	8.0	8.0	8.0	0.0	0.0	8.0	8.0	37.0	36.0	37.0	37.0	37.0	37.0	8.0	8.0	0.0	0.0	0.0	0.0	29.0	29.0	8.0	29.0	29.0	5.0	9.0	8.0	9.0	8.0
SRR2352211	7.0	0.0	0.0	1.0	3.0	0.0	45.0	116.0	0.0	0.0	0.0	125.0	45.0	14.0	1.0	1.0	45.0	16.0	1.0	1.0	18.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	45.0	44.0	45.0	45.0	45.0	45.0	0.0	0.0	8.0	8.0	8.0	8.0	37.0	37.0	0.0	37.0	37.0	0.0	1.0	1.0	1.0	1.0
SRR2352212	7.0	0.0	0.0	1.0	3.0	0.0	45.0	116.0	0.0	0.0	0.0	125.0	45.0	14.0	1.0	1.0	45.0	16.0	1.0	1.0	18.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	45.0	44.0	45.0	45.0	45.0	45.0	0.0	0.0	8.0	8.0	8.0	8.0	37.0	37.0	0.0	37.0	37.0	0.0	1.0	1.0	1.0	1.0
SRR2352213	52.0	45.0	44.0	45.0	48.0	44.0	0.0	125.0	44.0	45.0	44.0	134.0	0.0	41.0	46.0	46.0	0.0	45.0	46.0	13.0	36.0	45.0	45.0	45.0	37.0	37.0	45.0	45.0	0.0	0.0	0.0	0.0	16.0	16.0	45.0	45.0	37.0	37.0	37.0	37.0	8.0	8.0	45.0	8.0	8.0	31.0	46.0	44.0	46.0	45.0
SRR2352214	51.0	44.0	43.0	44.0	47.0	43.0	0.0	125.0	43.0	44.0	43.0	134.0	0.0	40.0	45.0	45.0	0.0	44.0	45.0	13.0	36.0	44.0	44.0	44.0	36.0	36.0	44.0	44.0	0.0	0.0	0.0	0.0	16.0	16.0	44.0	44.0	36.0	36.0	36.0	36.0	8.0	8.0	44.0	8.0	8.0	30.0	45.0	43.0	45.0	44.0
SRR2352215	52.0	45.0	44.0	45.0	48.0	44.0	0.0	125.0	44.0	45.0	44.0	134.0	0.0	41.0	46.0	46.0	0.0	45.0	46.0	13.0	36.0	45.0	45.0	45.0	37.0	37.0	45.0	45.0	0.0	0.0	0.0	0.0	16.0	16.0	45.0	45.0	37.0	37.0	37.0	37.0	8.0	8.0	45.0	8.0	8.0	31.0	46.0	44.0	46.0	45.0
