	SRR2352185	SRR2352186	SRR2352187	SRR2352188	SRR2352189	SRR2352190	SRR2352191	SRR2352192	SRR2352193	SRR2352194	SRR2352195	SRR2352196	SRR2352197	SRR2352198	SRR2352199	SRR2352200	SRR2352201	SRR2352202	SRR2352203	SRR2352204	SRR2352205	SRR2352206	SRR2352207	SRR2352208	SRR2352209	SRR2352210	SRR2352211	SRR2352212	SRR2352213	SRR2352214	SRR2352215	SRR2352216	SRR2352217	SRR2352218	SRR2352219	SRR2352220	SRR2352221	SRR2352222	SRR2352223	SRR2352224	SRR2352225	SRR2352226	SRR2352227	SRR2352228	SRR2352229	SRR2352230	SRR2352231	SRR2352232	SRR2352233	SRR2352234
SRR2352185	0.0	5.0	5.0	5.0	7.0	5.0	24.0	48.0	5.0	5.0	5.0	55.0	24.0	6.0	5.0	5.0	24.0	8.0	5.0	5.0	12.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	24.0	24.0	24.0	24.0	21.0	21.0	5.0	5.0	5.0	5.0	5.0	5.0	18.0	18.0	5.0	18.0	18.0	5.0	5.0	5.0	5.0	5.0
SRR2352186	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352187	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352188	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352189	7.0	2.0	2.0	2.0	0.0	2.0	21.0	45.0	2.0	2.0	2.0	52.0	21.0	3.0	2.0	2.0	21.0	5.0	2.0	2.0	9.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	21.0	21.0	21.0	21.0	18.0	18.0	2.0	2.0	2.0	2.0	2.0	2.0	15.0	15.0	2.0	15.0	15.0	2.0	2.0	0.0	2.0	2.0
SRR2352190	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352191	24.0	19.0	19.0	19.0	21.0	19.0	0.0	62.0	19.0	19.0	19.0	69.0	0.0	20.0	19.0	19.0	0.0	22.0	19.0	7.0	21.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	0.0	0.0	0.0	0.0	9.0	9.0	19.0	19.0	19.0	19.0	19.0	19.0	6.0	6.0	19.0	6.0	6.0	14.0	19.0	19.0	19.0	19.0
SRR2352192	48.0	43.0	43.0	43.0	45.0	43.0	62.0	0.0	43.0	43.0	43.0	13.0	62.0	44.0	43.0	43.0	62.0	46.0	43.0	18.0	41.0	43.0	43.0	43.0	43.0	43.0	43.0	43.0	62.0	62.0	62.0	62.0	59.0	59.0	43.0	43.0	43.0	43.0	43.0	43.0	56.0	56.0	43.0	56.0	56.0	30.0	43.0	43.0	43.0	43.0
SRR2352193	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352194	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352195	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352196	55.0	50.0	50.0	50.0	52.0	50.0	69.0	13.0	50.0	50.0	50.0	0.0	69.0	51.0	50.0	50.0	69.0	53.0	50.0	23.0	48.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	69.0	69.0	69.0	69.0	66.0	66.0	50.0	50.0	50.0	50.0	50.0	50.0	63.0	63.0	50.0	63.0	63.0	33.0	50.0	45.0	50.0	50.0
SRR2352197	24.0	19.0	19.0	19.0	21.0	19.0	0.0	62.0	19.0	19.0	19.0	69.0	0.0	20.0	19.0	19.0	0.0	22.0	19.0	7.0	21.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	0.0	0.0	0.0	0.0	9.0	9.0	19.0	19.0	19.0	19.0	19.0	19.0	6.0	6.0	19.0	6.0	6.0	14.0	19.0	19.0	19.0	19.0
SRR2352198	6.0	1.0	1.0	1.0	3.0	1.0	20.0	44.0	1.0	1.0	1.0	51.0	20.0	0.0	1.0	1.0	20.0	4.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0	20.0	20.0	20.0	17.0	17.0	1.0	1.0	1.0	1.0	1.0	1.0	14.0	14.0	1.0	14.0	14.0	1.0	1.0	1.0	1.0	1.0
SRR2352199	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352200	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352201	24.0	19.0	19.0	19.0	21.0	19.0	0.0	62.0	19.0	19.0	19.0	69.0	0.0	20.0	19.0	19.0	0.0	22.0	19.0	7.0	21.0	19.0	19.0	19.0	19.0	19.0	19.0	19.0	0.0	0.0	0.0	0.0	9.0	9.0	19.0	19.0	19.0	19.0	19.0	19.0	6.0	6.0	19.0	6.0	6.0	14.0	19.0	19.0	19.0	19.0
SRR2352202	8.0	3.0	3.0	3.0	5.0	3.0	22.0	46.0	3.0	3.0	3.0	53.0	22.0	4.0	3.0	3.0	22.0	0.0	3.0	3.0	10.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	22.0	22.0	22.0	22.0	19.0	19.0	3.0	3.0	3.0	3.0	3.0	3.0	16.0	16.0	3.0	16.0	16.0	3.0	3.0	3.0	3.0	3.0
SRR2352203	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352204	5.0	0.0	0.0	0.0	2.0	0.0	7.0	18.0	0.0	0.0	0.0	23.0	7.0	1.0	0.0	0.0	7.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	7.0	7.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	0.0	7.0	7.0	0.0	0.0	0.0	0.0	0.0
SRR2352205	12.0	7.0	7.0	7.0	9.0	7.0	21.0	41.0	7.0	7.0	7.0	48.0	21.0	6.0	7.0	7.0	21.0	10.0	7.0	1.0	0.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	21.0	21.0	21.0	21.0	18.0	18.0	7.0	7.0	7.0	7.0	7.0	7.0	15.0	15.0	7.0	15.0	15.0	7.0	7.0	7.0	7.0	7.0
SRR2352206	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
SRR2352207	5.0	0.0	0.0	0.0	2.0	0.0	19.0	43.0	0.0	0.0	0.0	50.0	19.0	1.0	0.0	0.0	19.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	19.0	19.0	19.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	13.0	0.0	13.0	13.0	0.0	0.0	0.0	0.0	0.0
